id,name,Wikipedia links
428,Dried Figs (Anjeer),https://en.wikipedia.org/wiki/Dried Figs (Anjeer)
429,Chopped Walnuts (Akhrot),https://en.wikipedia.org/wiki/Chopped Walnuts (Akhrot)
430,Sesame Seeds (Til),https://en.wikipedia.org/wiki/Sesame Seeds (Til)
431,Crumbled Mava (Khoya),https://en.wikipedia.org/wiki/Crumbled Mava (Khoya)
432,Chopped Dried Figs (Anjeer),https://en.wikipedia.org/wiki/Chopped Dried Figs (Anjeer)
433,Chopped Mixed Nuts,https://en.wikipedia.org/wiki/Chopped Mixed Nuts
434,Milk Powder,https://en.wikipedia.org/wiki/Milk Powder
435,Coarsely Crushed Sweet Biscuits (Parle G),https://en.wikipedia.org/wiki/Coarsely Crushed Sweet Biscuits (Parle G)
436,Ice- Cubes,https://en.wikipedia.org/wiki/Ice- Cubes
437,Orange,https://en.wikipedia.org/wiki/Orange
438,Papaya,https://en.wikipedia.org/wiki/Papaya
439,Banana,https://en.wikipedia.org/wiki/Banana
440,Sprouted Moong (Whole Green Gram),https://en.wikipedia.org/wiki/Sprouted Moong (Whole Green Gram)
441,Rock Salt (Sendha Namak),https://en.wikipedia.org/wiki/Rock Salt (Sendha Namak)
442,Watermelon (Tarbuj) Balls,https://en.wikipedia.org/wiki/Watermelon (Tarbuj) Balls
443,Green Grapes,https://en.wikipedia.org/wiki/Green Grapes
444,Dates (Khajur),https://en.wikipedia.org/wiki/Dates (Khajur)
445,"Medium Sized Apples , Roughly Chopped","https://en.wikipedia.org/wiki/Medium Sized Apples , Roughly Chopped"
446,Chopped Beetroot,https://en.wikipedia.org/wiki/Chopped Beetroot
447,Ice,https://en.wikipedia.org/wiki/Ice
448,Iceberg Lettuce,https://en.wikipedia.org/wiki/Iceberg Lettuce
449,Soaked And Cooked Whole Masoor (Whole Red Lentil),https://en.wikipedia.org/wiki/Soaked And Cooked Whole Masoor (Whole Red Lentil)
450,Mushroom (Khumbh) Cubes,https://en.wikipedia.org/wiki/Mushroom (Khumbh) Cubes
451,Grilled Pumpkin,https://en.wikipedia.org/wiki/Grilled Pumpkin
452,Crumbled Feta Cheese,https://en.wikipedia.org/wiki/Crumbled Feta Cheese
453,Extra Virgin Olive Oil,https://en.wikipedia.org/wiki/Extra Virgin Olive Oil
454,Garlic (Lehsun) Cloves,https://en.wikipedia.org/wiki/Garlic (Lehsun) Cloves
455,Grated Lemon Rind,https://en.wikipedia.org/wiki/Grated Lemon Rind
456,Dried Thyme,https://en.wikipedia.org/wiki/Dried Thyme
457,Low Fat Paneer,https://en.wikipedia.org/wiki/Low Fat Paneer
458,Green Capsicum,https://en.wikipedia.org/wiki/Green Capsicum
459,Chopped Fresh Basil,https://en.wikipedia.org/wiki/Chopped Fresh Basil
460,Chopped Fresh Parsley,https://en.wikipedia.org/wiki/Chopped Fresh Parsley
461,Coconut Milk,https://en.wikipedia.org/wiki/Coconut Milk
462,Cooked Rice (Chawal,https://en.wikipedia.org/wiki/Cooked Rice (Chawal
463,Dry Yeast,https://en.wikipedia.org/wiki/Dry Yeast
464,Vegetable Korma,https://en.wikipedia.org/wiki/Vegetable Korma
465,Raw Rice,https://en.wikipedia.org/wiki/Raw Rice
466,Poha (Flattened Rice Flakes),https://en.wikipedia.org/wiki/Poha (Flattened Rice Flakes)
467,Yoghurt,https://en.wikipedia.org/wiki/Yoghurt
468,Jaggery (Gur),https://en.wikipedia.org/wiki/Jaggery (Gur)
469,Cooked Rice (Chawal),https://en.wikipedia.org/wiki/Cooked Rice (Chawal)
470,Coconut Milk (Nariyal Ka Doodh),https://en.wikipedia.org/wiki/Coconut Milk (Nariyal Ka Doodh)
471,Coconut Stew,https://en.wikipedia.org/wiki/Coconut Stew
472,Apple Cubes,https://en.wikipedia.org/wiki/Apple Cubes
473,Chopped Celery,https://en.wikipedia.org/wiki/Chopped Celery
474,Mustard (Rai / Sarson) Paste,https://en.wikipedia.org/wiki/Mustard (Rai / Sarson) Paste
475,Chopped Apple,https://en.wikipedia.org/wiki/Chopped Apple
476,Chopped Banana,https://en.wikipedia.org/wiki/Chopped Banana
477,Soaked And Cooked Steel Cut Oats,https://en.wikipedia.org/wiki/Soaked And Cooked Steel Cut Oats
478,Apple Sauce,https://en.wikipedia.org/wiki/Apple Sauce
479,Buckwheat (Kuttu Or Kutti No Daro) Flour,https://en.wikipedia.org/wiki/Buckwheat (Kuttu Or Kutti No Daro) Flour
480,Chopped Carrot,https://en.wikipedia.org/wiki/Chopped Carrot
481,Whole Wheat Bread,https://en.wikipedia.org/wiki/Whole Wheat Bread
482,Grated Apples,https://en.wikipedia.org/wiki/Grated Apples
483,Grated Mozzrella Cheese,https://en.wikipedia.org/wiki/Grated Mozzrella Cheese
484,Black Dates (Kala Khajur),https://en.wikipedia.org/wiki/Black Dates (Kala Khajur)
485,Apple Wedges,https://en.wikipedia.org/wiki/Apple Wedges
486,Red,https://en.wikipedia.org/wiki/Red
487,Muskmelon Purée,https://en.wikipedia.org/wiki/Muskmelon Purée
488,Roasted And Crushed Cumin Seeds (Jeera),https://en.wikipedia.org/wiki/Roasted And Crushed Cumin Seeds (Jeera)
489,Quick Cooking Rolled Oats,https://en.wikipedia.org/wiki/Quick Cooking Rolled Oats
490,Raisins (Kismis),https://en.wikipedia.org/wiki/Raisins (Kismis)
491,Orange Squash,https://en.wikipedia.org/wiki/Orange Squash
492,Lemon Squash,https://en.wikipedia.org/wiki/Lemon Squash
493,Soda,https://en.wikipedia.org/wiki/Soda
494,Sliced Apple,https://en.wikipedia.org/wiki/Sliced Apple
495,Bread Slices,https://en.wikipedia.org/wiki/Bread Slices
496,Brown Sugar,https://en.wikipedia.org/wiki/Brown Sugar
497,Apple,https://en.wikipedia.org/wiki/Apple
498,Sandesh,https://en.wikipedia.org/wiki/Sandesh
499,Grated Apple,https://en.wikipedia.org/wiki/Grated Apple
500,Carrot Cubes,https://en.wikipedia.org/wiki/Carrot Cubes
501,Beetroot Cubes,https://en.wikipedia.org/wiki/Beetroot Cubes
502,Ginger Sticks,https://en.wikipedia.org/wiki/Ginger Sticks
503,Chopped Chickoo,https://en.wikipedia.org/wiki/Chopped Chickoo
504,Chopped Muskmelon (Kharbooja),https://en.wikipedia.org/wiki/Chopped Muskmelon (Kharbooja)
505,Chopped Dates (Khajur),https://en.wikipedia.org/wiki/Chopped Dates (Khajur)
506,Low Fat Milk,https://en.wikipedia.org/wiki/Low Fat Milk
507,Sliced Apples,https://en.wikipedia.org/wiki/Sliced Apples
508,Skimmed Milk Powder,https://en.wikipedia.org/wiki/Skimmed Milk Powder
509,Low Fat Cream,https://en.wikipedia.org/wiki/Low Fat Cream
510,Soya Milk,https://en.wikipedia.org/wiki/Soya Milk
511,Lemon Rind,https://en.wikipedia.org/wiki/Lemon Rind
512,Crêpes,https://en.wikipedia.org/wiki/Crêpes
513,Nutmeg (Jaiphal) Powder,https://en.wikipedia.org/wiki/Nutmeg (Jaiphal) Powder
514,Wheat Bran,https://en.wikipedia.org/wiki/Wheat Bran
515,Low-Fat Butter,https://en.wikipedia.org/wiki/Low-Fat Butter
516,Chopped Cucumber,https://en.wikipedia.org/wiki/Chopped Cucumber
517,Cucumber Slices,https://en.wikipedia.org/wiki/Cucumber Slices
518,Parsley,https://en.wikipedia.org/wiki/Parsley
519,Apples,https://en.wikipedia.org/wiki/Apples
520,Mixed Fruits,https://en.wikipedia.org/wiki/Mixed Fruits
521,Strawberry Jelly Cubes,https://en.wikipedia.org/wiki/Strawberry Jelly Cubes
522,White Dragon Fruit Cubes,https://en.wikipedia.org/wiki/White Dragon Fruit Cubes
523,Maple Syrup,https://en.wikipedia.org/wiki/Maple Syrup
524,Apple Juice,https://en.wikipedia.org/wiki/Apple Juice
525,Self Rising Flour,https://en.wikipedia.org/wiki/Self Rising Flour
526,Condensed Milk,https://en.wikipedia.org/wiki/Condensed Milk
527,Apple Rings,https://en.wikipedia.org/wiki/Apple Rings
528,Saffron Strands,https://en.wikipedia.org/wiki/Saffron Strands
529,Saffron Colour,https://en.wikipedia.org/wiki/Saffron Colour
530,Rose Water,https://en.wikipedia.org/wiki/Rose Water
531,Rose Petals,https://en.wikipedia.org/wiki/Rose Petals
532,Shortcrust Pastry,https://en.wikipedia.org/wiki/Shortcrust Pastry
533,Cooking Apples,https://en.wikipedia.org/wiki/Cooking Apples
534,Blanched And Sliced Almonds,https://en.wikipedia.org/wiki/Blanched And Sliced Almonds
535,Vanilla Cream,https://en.wikipedia.org/wiki/Vanilla Cream
536,Thick Curds (Dahi),https://en.wikipedia.org/wiki/Thick Curds (Dahi)
537,Strawberry Crush,https://en.wikipedia.org/wiki/Strawberry Crush
538,Green Apple Cubes,https://en.wikipedia.org/wiki/Green Apple Cubes
539,Steel Cut Oats,https://en.wikipedia.org/wiki/Steel Cut Oats
540,Roasted Sunflower Seeds (Surajmukhi Ke Beej),https://en.wikipedia.org/wiki/Roasted Sunflower Seeds (Surajmukhi Ke Beej)
541,Apple Sticks,https://en.wikipedia.org/wiki/Apple Sticks
542,Dried Apricots (Kummani / Jardalu),https://en.wikipedia.org/wiki/Dried Apricots (Kummani / Jardalu)
543,Custard Powder,https://en.wikipedia.org/wiki/Custard Powder
544,"Iceberg Lettuce, Torn Into Pieces","https://en.wikipedia.org/wiki/Iceberg Lettuce, Torn Into Pieces"
545,"Cherry Tomatoes, Halved","https://en.wikipedia.org/wiki/Cherry Tomatoes, Halved"
546,Cucumber Cubes,https://en.wikipedia.org/wiki/Cucumber Cubes
547,Green Olives,https://en.wikipedia.org/wiki/Green Olives
548,Black Olives,https://en.wikipedia.org/wiki/Black Olives
549,Baharat,https://en.wikipedia.org/wiki/Baharat
550,Baharat Powder,https://en.wikipedia.org/wiki/Baharat Powder
551,Pomegranate Seeds (Anardana ) Powder,https://en.wikipedia.org/wiki/Pomegranate Seeds (Anardana ) Powder
552,Cherry Tomatoes,https://en.wikipedia.org/wiki/Cherry Tomatoes
553,Olives,https://en.wikipedia.org/wiki/Olives
554,Boiled And Peeled Colocassia (Arbi) Roundels,https://en.wikipedia.org/wiki/Boiled And Peeled Colocassia (Arbi) Roundels
555,Tomato Pulp,https://en.wikipedia.org/wiki/Tomato Pulp
556,"Boiled , Peeled Colocassia (Arbi) Thick Roundels","https://en.wikipedia.org/wiki/Boiled , Peeled Colocassia (Arbi) Thick Roundels"
557,Thick Beaten Rice (Jada Poha),https://en.wikipedia.org/wiki/Thick Beaten Rice (Jada Poha)
558,Boiled And Peeled Colocassia (Arbi),https://en.wikipedia.org/wiki/Boiled And Peeled Colocassia (Arbi)
559,Masoor (Split Red Lentil) Dal,https://en.wikipedia.org/wiki/Masoor (Split Red Lentil) Dal
560,Tomatoes,https://en.wikipedia.org/wiki/Tomatoes
561,Cooked Toovar (Arhar) Dal,https://en.wikipedia.org/wiki/Cooked Toovar (Arhar) Dal
562,"Asparagus , Cut Into 2 Cm. Pieces And Blanched",
563,"Baby Corn , Cut Into 2 Cm. Pieces And Blanched",
564,Dry Red Chilli Flakes (Paprika),https://en.wikipedia.org/wiki/Dry Red Chilli Flakes (Paprika)
565,Palak Rotis,https://en.wikipedia.org/wiki/Palak Rotis
566,Lettuce,https://en.wikipedia.org/wiki/Lettuce
567,Blanched Asparagus,https://en.wikipedia.org/wiki/Blanched Asparagus
568,White Sauce,https://en.wikipedia.org/wiki/White Sauce
569,Baguette,https://en.wikipedia.org/wiki/Baguette
570,Chopped Parsley,https://en.wikipedia.org/wiki/Chopped Parsley
571,"Asparagus Spears , Cut Into 50 Mm.(2"") Long",
572,Asparagus Spears,https://en.wikipedia.org/wiki/Asparagus Spears
573,Pita Chips,https://en.wikipedia.org/wiki/Pita Chips
574,Chopped Asparagus,https://en.wikipedia.org/wiki/Chopped Asparagus
575,Low Fat Butter,https://en.wikipedia.org/wiki/Low Fat Butter
576,Cream Cracker Biscuits,https://en.wikipedia.org/wiki/Cream Cracker Biscuits
577,Beetroot Slices,https://en.wikipedia.org/wiki/Beetroot Slices
578,Shallots (Madras Onions),https://en.wikipedia.org/wiki/Shallots (Madras Onions)
579,Dosa Batter,https://en.wikipedia.org/wiki/Dosa Batter
580,Boiled And Coarsely Crushed Sweet Corn Kernels,https://en.wikipedia.org/wiki/Boiled And Coarsely Crushed Sweet Corn Kernels
581,Chopped Capsicum,https://en.wikipedia.org/wiki/Chopped Capsicum
582,Boiled And Coarsely Crushed Mixed Sprouts,https://en.wikipedia.org/wiki/Boiled And Coarsely Crushed Mixed Sprouts
583,Pav Bhaji Masala,https://en.wikipedia.org/wiki/Pav Bhaji Masala
584,Chopped Baby Corn,https://en.wikipedia.org/wiki/Chopped Baby Corn
585,Chopped Coloured Capsicum,https://en.wikipedia.org/wiki/Chopped Coloured Capsicum
586,Schezuan Sauce,https://en.wikipedia.org/wiki/Schezuan Sauce
587,Grated Beetroot,https://en.wikipedia.org/wiki/Grated Beetroot
588,Sambhar,https://en.wikipedia.org/wiki/Sambhar
589,Malaga Podi Powder,https://en.wikipedia.org/wiki/Malaga Podi Powder
590,Almond Slivers,https://en.wikipedia.org/wiki/Almond Slivers
591,Coarsely Crushed Black Peppercorns (Kalimirch),https://en.wikipedia.org/wiki/Coarsely Crushed Black Peppercorns (Kalimirch)
592,Chopped Mixed Vegetables,https://en.wikipedia.org/wiki/Chopped Mixed Vegetables
593,Brinjals (Baingan / Eggplant),https://en.wikipedia.org/wiki/Brinjals (Baingan / Eggplant)
594,Pizza Sauce,https://en.wikipedia.org/wiki/Pizza Sauce
595,Low Calorie White Sauce,https://en.wikipedia.org/wiki/Low Calorie White Sauce
596,Whole Wheat Bread Crumbs,https://en.wikipedia.org/wiki/Whole Wheat Bread Crumbs
597,"Green Chillies , Roughly Chopped","https://en.wikipedia.org/wiki/Green Chillies , Roughly Chopped"
598,"Drumsticks ,","https://en.wikipedia.org/wiki/Drumsticks ,"
599,"Carrots , Cut Into 25Mm (1) Pieces",
600,Red Pumpkin (Bhopla / Kaddu) Cubes,https://en.wikipedia.org/wiki/Red Pumpkin (Bhopla / Kaddu) Cubes
601,Raw Banana,https://en.wikipedia.org/wiki/Raw Banana
602,Brinjal (Baingan / Eggplant) Cubes,https://en.wikipedia.org/wiki/Brinjal (Baingan / Eggplant) Cubes
603,Turmeric,https://en.wikipedia.org/wiki/Turmeric
604,Red Pumpkin (Bhopla/ Kaddu) Strips,https://en.wikipedia.org/wiki/Red Pumpkin (Bhopla/ Kaddu) Strips
605,Round Brinjal Cubes,https://en.wikipedia.org/wiki/Round Brinjal Cubes
606,Whisked Fresh Curds (Dahi),https://en.wikipedia.org/wiki/Whisked Fresh Curds (Dahi)
607,Chopped Avocado,https://en.wikipedia.org/wiki/Chopped Avocado
608,Chopped Frozen Bananas,https://en.wikipedia.org/wiki/Chopped Frozen Bananas
609,French Bread Slices,https://en.wikipedia.org/wiki/French Bread Slices
610,Cherry Tomato Halves,https://en.wikipedia.org/wiki/Cherry Tomato Halves
611,Sea Salt (Khada Namak),https://en.wikipedia.org/wiki/Sea Salt (Khada Namak)
612,Mashed Ripe Avocado,https://en.wikipedia.org/wiki/Mashed Ripe Avocado
613,Sushi Rice,https://en.wikipedia.org/wiki/Sushi Rice
614,Rice Vinegar,https://en.wikipedia.org/wiki/Rice Vinegar
615,Seaweed Sushi ( Nori) Sheets,https://en.wikipedia.org/wiki/Seaweed Sushi ( Nori) Sheets
616,Bamboo Mat,https://en.wikipedia.org/wiki/Bamboo Mat
617,Toga Rashi Powder,https://en.wikipedia.org/wiki/Toga Rashi Powder
618,Avocado Strips,https://en.wikipedia.org/wiki/Avocado Strips
619,Cream Cheese Cube Strips,https://en.wikipedia.org/wiki/Cream Cheese Cube Strips
620,Wasabi Sauce,https://en.wikipedia.org/wiki/Wasabi Sauce
621,Pickled Sushi Ginger,https://en.wikipedia.org/wiki/Pickled Sushi Ginger
622,Cucumber Strips,https://en.wikipedia.org/wiki/Cucumber Strips
623,Avocado Cubes,https://en.wikipedia.org/wiki/Avocado Cubes
624,Feta Cheese,https://en.wikipedia.org/wiki/Feta Cheese
625,Bread,https://en.wikipedia.org/wiki/Bread
626,Sliced Avocados,https://en.wikipedia.org/wiki/Sliced Avocados
627,Sliced Tomatoes,https://en.wikipedia.org/wiki/Sliced Tomatoes
628,Chopped Dark Chocolate,https://en.wikipedia.org/wiki/Chopped Dark Chocolate
629,Chopped Riped Avocado,https://en.wikipedia.org/wiki/Chopped Riped Avocado
630,Chocolate Curls,https://en.wikipedia.org/wiki/Chocolate Curls
631,Chopped Ripe Avocado,https://en.wikipedia.org/wiki/Chopped Ripe Avocado
632,Avocados,https://en.wikipedia.org/wiki/Avocados
633,Nacho Chips,https://en.wikipedia.org/wiki/Nacho Chips
634,Corn Chips,https://en.wikipedia.org/wiki/Corn Chips
635,Avocado,https://en.wikipedia.org/wiki/Avocado
636,Greek Yoghurt,https://en.wikipedia.org/wiki/Greek Yoghurt
637,Chopped Shallots,https://en.wikipedia.org/wiki/Chopped Shallots
638,Grapefruit Segments,https://en.wikipedia.org/wiki/Grapefruit Segments
639,Chopped Kale,https://en.wikipedia.org/wiki/Chopped Kale
640,Mango Pulp,https://en.wikipedia.org/wiki/Mango Pulp
641,Sliced Capsicum,https://en.wikipedia.org/wiki/Sliced Capsicum
642,Tomato Strips,https://en.wikipedia.org/wiki/Tomato Strips
643,Sliced And Blanched Baby Corn,https://en.wikipedia.org/wiki/Sliced And Blanched Baby Corn
644,Sliced Avocado,https://en.wikipedia.org/wiki/Sliced Avocado
645,Sliced And Blanched Babycorn,https://en.wikipedia.org/wiki/Sliced And Blanched Babycorn
646,Chopped Pears,https://en.wikipedia.org/wiki/Chopped Pears
647,Blanched Broccoli Florets,https://en.wikipedia.org/wiki/Blanched Broccoli Florets
648,Roasted Flaxseeds,https://en.wikipedia.org/wiki/Roasted Flaxseeds
649,Dried Mixed Herbs,https://en.wikipedia.org/wiki/Dried Mixed Herbs
650,Shell Pasta,https://en.wikipedia.org/wiki/Shell Pasta
651,Sliced Mozzarella Cheese,https://en.wikipedia.org/wiki/Sliced Mozzarella Cheese
652,Basil,https://en.wikipedia.org/wiki/Basil
