id,name,Wikipedia links,Hindi name,Image link
1,Asparagus,https://en.wikipedia.org/wiki/Asparagus,,https://en.wikipedia.org/wiki/Asparagus#/media/File:Asparagus-Bundle.jpg
2,Lemongrass,https://en.wikipedia.org/wiki/Lemongrass,,https://en.wikipedia.org/wiki/Cymbopogon#/media/File:YosriNov04Pokok_Serai.JPG
3,Roses,https://en.wikipedia.org/wiki/Roses,,https://en.wikipedia.org/wiki/Rose#/media/File:Roses_Boutons_FR_2012.jpg
5,Lavash,https://en.wikipedia.org/wiki/Lavash,,https://en.wikipedia.org/wiki/Lavash#/media/File:Pan_armenio_en_el_mercado_de_Yerevan.JPG
6,White Chick Peas,https://en.wikipedia.org/wiki/Chickpea,Kabuli Chana,https://en.wikipedia.org/wiki/Chickpea#/media/File:Sa-whitegreen-chickpea.jpg
7,Green Mango,https://en.wikipedia.org/wiki/Mangoes,aam,https://en.wikipedia.org/wiki/Mango#/media/File:Mangoes_pic.jpg
8,Turmeric Powder,https://en.wikipedia.org/wiki/Turmeric,Haldi,https://en.wikipedia.org/wiki/Turmeric#/media/File:Curcuma_longa_roots.jpg
9,Fenugreek Seeds,https://en.wikipedia.org/wiki/Fenugreek,Methi,https://en.wikipedia.org/wiki/Fenugreek#/media/File:Illustration_Trigonella_foenum-graecum0_clean.jpg
11,Fennel Seeds,https://en.wikipedia.org/wiki/Fennel,Saunf,https://en.wikipedia.org/wiki/Fennel#/media/File:Foeniculum_July_2011-1a.jpg
12,Asafoetida,https://en.wikipedia.org/wiki/Asafoetida,Hing,https://en.wikipedia.org/wiki/Asafoetida#/media/File:Asafoetida2.jpg
13,Nigella Seeds,https://en.wikipedia.org/wiki/Nigella,Kalonji,https://en.wikipedia.org/wiki/Nigella#/media/File:Nigella_damascena_seed_capsule1.jpg
14,Whole Dry Kashmiri Red Chillies,https://en.wikipedia.org/wiki/Red Chillies,,https://en.wikipedia.org/wiki/Chili_pepper#/media/File:Madame_Jeanette_and_other_chillies.jpg
15,Chilli Powder,,,
16,Mustard Oil,https://en.wikipedia.org/wiki/Mustard Oil,Rai / Sarson,https://en.wikipedia.org/wiki/Mustard_oil#/media/File:Mustard_Oil_%26_Seeds_-_Kolkata_2003-10-31_00537.JPG
17,Salt,https://en.wikipedia.org/wiki/Salt,namak,https://en.wikipedia.org/wiki/Salt#/media/File:Comparison_of_Table_Salt_with_Kitchen_Salt.png
20,Split Mustard Seeds,https://en.wikipedia.org/wiki/Mustard_seed,Rai Na Kuria,https://en.wikipedia.org/wiki/Mustard_seed#/media/File:Mustard.png
22,Sugar,https://en.wikipedia.org/wiki/Sugar,,https://en.wikipedia.org/wiki/Sugar#/media/File:Sucre_blanc_cassonade_complet_rapadura.jpg
23,Mint Leaves,https://en.wikipedia.org/wiki/Mentha,Phudina,https://en.wikipedia.org/wiki/Mentha#/media/File:Mint_2014-06-01_00-53.jpg
24,Crushed Ice,https://en.wikipedia.org/wiki/Ice,,https://en.wikipedia.org/wiki/Ice#/media/File:CSIRO_ScienceImage_521_Bubbles_in_Ice.jpg
26,Oil,https://en.wikipedia.org/wiki/Oil,,https://en.wikipedia.org/wiki/Oil#/media/File:Italian_olive_oil_2007.jpg
27,Bengal Gram Flour,https://en.wikipedia.org/wiki/Besan,,https://en.wikipedia.org/wiki/Gram_flour#/media/File:Gram_flour_AvL.jpg
28,Rice Flour,https://en.wikipedia.org/wiki/Rice flour,Chawal Ka Atta,https://en.wikipedia.org/wiki/Rice_flour#/media/File:Mochiko.jpg
29,Carom Seeds,https://en.wikipedia.org/wiki/Ajwain,Ajwain,https://en.wikipedia.org/wiki/Ajwain#/media/File:Carom.jpg
31,Sambhaar,https://en.wikipedia.org/wiki/Sambar_(dish),,https://en.wikipedia.org/wiki/Sambar_(dish)#/media/File:Pumpkin_sambar.JPG
33,Poppy Seeds,https://en.wikipedia.org/wiki/Poppy seeds,Khus-Khus,https://en.wikipedia.org/wiki/Poppy_seed#/media/File:Poppy_seeds.jpg
34,Coriander Powder,https://en.wikipedia.org/wiki/Coriander,Dhania,https://en.wikipedia.org/wiki/Coriander#/media/File:Coriandrum_sativum_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-193.jpg
35,Curds,https://en.wikipedia.org/wiki/Curds,Dahi,https://en.wikipedia.org/wiki/Curd#/media/File:Kaimi%C5%A1ka_var%C5%A1k%C4%97.JPG
39,Cumin Seeds,https://en.wikipedia.org/wiki/Cumin,Jeera,https://en.wikipedia.org/wiki/Cumin#/media/File:Cuminum_cyminum_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-198.jpg
40,Onions,https://en.wikipedia.org/wiki/Onions,,https://en.wikipedia.org/wiki/Onion#/media/File:Mixed_onions.jpg
41,Green Chillies,https://en.wikipedia.org/wiki/Green chillies,,https://en.wikipedia.org/wiki/Chili_pepper#/media/File:Bhoot_Jolokia_(_Ghost_Chili_pepper_).jpg
42,Ginger,https://en.wikipedia.org/wiki/Ginger,Adrak,https://en.wikipedia.org/wiki/Ginger#/media/File:Ingwer_2_fcm.jpg
43,Potatoes,https://en.wikipedia.org/wiki/Potatoes,,https://en.wikipedia.org/wiki/Potato#/media/File:Patates.jpg
44,Green Peas,https://en.wikipedia.org/wiki/Green peas,matar,https://en.wikipedia.org/wiki/Pea#/media/File:Peas_in_pods_-_Studio.jpg
45,Chaat Masala,https://en.wikipedia.org/wiki/Chaat masala,,https://en.wikipedia.org/wiki/Chaat_masala#/media/File:Chaatmasala.jpg
46,Garam Masala,https://en.wikipedia.org/wiki/Garam masala,,https://en.wikipedia.org/wiki/Garam_masala#/media/File:Garammasalaphoto.jpg
49,Rotis,https://en.wikipedia.org/wiki/Roti,,https://en.wikipedia.org/wiki/Roti#/media/File:Chapati.jpg
50,Sliced Ladies Finger,https://en.wikipedia.org/wiki/Okra,Bhindi,https://en.wikipedia.org/wiki/Okra#/media/File:Hong_Kong_Okra_Aug_25_2012.JPG
53,hopped Tomatoes,https://en.wikipedia.org/wiki/Tomatoes,,https://en.wikipedia.org/wiki/Tomato#/media/File:Bright_red_tomato_and_cross_section02.jpg
55,Coriander-Cumin Seeds Powder,,Dhania-Jeera,
56,Green Chilli Pickle,,,
58,Garlic,https://en.wikipedia.org/wiki/Garlic,Lehsun,https://en.wikipedia.org/wiki/Garlic#/media/File:Allium_sativum_Woodwill_1793.jpg
59,Paneer Cubes,https://en.wikipedia.org/wiki/Paneer,,https://en.wikipedia.org/wiki/Paneer#/media/File:Panir_Paneer_Indian_cheese_fresh.jpg
61,Samosa Pattis,,,
63,Khakhras,https://en.wikipedia.org/wiki/Khakhra,,https://en.wikipedia.org/wiki/Khakhra#/media/File:Khakhra_br%C3%B6d.png
64,Ginger-Garlic Paste,,Adrak-Lehsun,
65,Brinjals,https://en.wikipedia.org/wiki/Eggplant,Baingan,https://en.wikipedia.org/wiki/Eggplant#/media/File:Solanum_melongena_24_08_2012_(1).JPG
67,Punjabi Garam Masala,,,
68,Dried Mango Powder,https://en.wikipedia.org/wiki/amchoor,Amchur,
69,Cream,https://en.wikipedia.org/wiki/Cream,,https://en.wikipedia.org/wiki/Cream#/media/File:Milk-bottle.jpg
70,Aam Ka Achaar,https://en.wikipedia.org/wiki/pickle,,https://en.wikipedia.org/wiki/Pickling#/media/File:Gherkins_and_Onions.JPG
72,Long Grained Rice,https://en.wikipedia.org/wiki/basmati,Basmati,https://en.wikipedia.org/wiki/Basmati#/media/File:Khyma_and_Basmati_rice.jpg
73,Ghee,https://en.wikipedia.org/wiki/Ghee,,https://en.wikipedia.org/wiki/Ghee#/media/File:Butterschmalz-3.jpg
74,Black Cardamom,https://en.wikipedia.org/wiki/Black Cardamom,Badi elaichi,https://en.wikipedia.org/wiki/Black_cardamom#/media/File:BlackCardamom.jpg
75,Black Salt,https://en.wikipedia.org/wiki/Kala_namak,Sanchal,https://en.wikipedia.org/wiki/Kala_namak#/media/File:Black_Salt_(crystals).jpg
76,Plain Flour,https://en.wikipedia.org/wiki/Flour,Maida,https://en.wikipedia.org/wiki/Flour#/media/File:Flours.jpg
77,Rice,https://en.wikipedia.org/wiki/Rice,Chawal,"https://en.wikipedia.org/wiki/Rice#/media/File:White,_Brown,_Red_%26_Wild_rice.jpg"
78,Cinnamon Sticks,https://en.wikipedia.org/wiki/Cinnamon,Dalchini,https://en.wikipedia.org/wiki/Cinnamon#/media/File:Cinnamomum_verum_spices.jpg
79,Cloves,https://en.wikipedia.org/wiki/Cloves,Laung / Lavang,https://en.wikipedia.org/wiki/Clove#/media/File:Syzygium_aromaticum_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-030.jpg
80,Caraway Seeds,https://en.wikipedia.org/wiki/Caraway seeds,Shahjeera,https://en.wikipedia.org/wiki/Caraway#/media/File:Carum_carvi_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-172.jpg
81,Cardamoms,https://en.wikipedia.org/wiki/Cardamom,,https://en.wikipedia.org/wiki/Cardamom#/media/File:100_Cardamom_pods.jpg
82,Broken Wheat,https://en.wikipedia.org/wiki/Bulgur,Dalia,https://en.wikipedia.org/wiki/Bulgur#/media/File:Bulgur2.jpg
83,Split Green Gram,https://en.wikipedia.org/wiki/Mung_bean,Green Moong Dal,https://en.wikipedia.org/wiki/Mung_bean#/media/File:Sa_green_gram.jpg
84,Split Red Lentil,https://en.wikipedia.org/wiki/Lentil,Masoor Dal,https://en.wikipedia.org/wiki/Lentil#/media/File:3_types_of_lentil.png
85,Split Black Lentils,,Urad Dal,
86,Ginger-Green Chilli Paste,,,
87,Curry Leaves,https://en.wikipedia.org/wiki/Curry_tree,Kadi Patta,https://en.wikipedia.org/wiki/Curry_tree#/media/File:Curry_Trees.jpg
88,Par-Boiled Rice,https://en.wikipedia.org/wiki/Boiled Rice,Ukda Chawal,https://en.wikipedia.org/wiki/Cooked_rice#/media/File:A_bowl_of_rice.jpg
89,Toovar Dal,https://en.wikipedia.org/wiki/Pigeon_pea,Arhar,https://en.wikipedia.org/wiki/Pigeon_pea#/media/File:Tur_Dal.JPG
90,Split Bengal Gram,https://en.wikipedia.org/wiki/Split_pea,Chana Dal,https://en.wikipedia.org/wiki/Split_pea#/media/File:Split_pea.jpg
92,Black Peppercorns,https://en.wikipedia.org/wiki/Black_pepper,Kalimirch,https://en.wikipedia.org/wiki/Black_pepper#/media/File:Piper_nigrum_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-107.jpg
93,Coconut,https://en.wikipedia.org/wiki/Coconut,,https://en.wikipedia.org/wiki/Coconut#/media/File:Cocos_nucifera_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-187.jpg
94,Coconut Oil,https://en.wikipedia.org/wiki/Coconut Oil,,https://en.wikipedia.org/wiki/Coconut_oil#/media/File:Coconut_and_oil.jpg
95,Coconut Chutney,https://en.wikipedia.org/wiki/Coconut Chutney,,https://en.wikipedia.org/wiki/Coconut_chutney#/media/File:Coconut_Chutney_-_Home_Made.JPG
96,Carrot,https://en.wikipedia.org/wiki/Carrot,,https://en.wikipedia.org/wiki/Carrot#/media/File:13-08-31-wien-redaktionstreffen-EuT-by-Bi-frie-037.jpg
97,Cabbage,https://en.wikipedia.org/wiki/Cabbage,,https://en.wikipedia.org/wiki/Cabbage#/media/File:Cabbage_and_cross_section_on_white.jpg
99,Sugarcane Juice,https://en.wikipedia.org/wiki/Sugarcane Juice,,https://en.wikipedia.org/wiki/Sugarcane_juice#/media/File:Sugarcanejuice.jpg
100,Lemon,https://en.wikipedia.org/wiki/Lemon,,https://en.wikipedia.org/wiki/Lemon#/media/File:P1030323.JPG
101,Vanilla Ice-Cream,https://en.wikipedia.org/wiki/Vanilla_ice_cream,,https://en.wikipedia.org/wiki/Vanilla_ice_cream#/media/File:Vanilla_Ice_Cream_Cone_at_Camp_Manitoulin.jpg
102,Instant Coffee Powder,https://en.wikipedia.org/wiki/Coffee,,https://en.wikipedia.org/wiki/Coffee#/media/File:A_small_cup_of_coffee.JPG
103,Brandy,https://en.wikipedia.org/wiki/Brandy,,https://en.wikipedia.org/wiki/Brandy#/media/File:Cognac_glass.jpg
105,Melon Seeds,https://en.wikipedia.org/wiki/Melon,Charmagaz,https://en.wikipedia.org/wiki/Melon#/media/File:Cantaloupe_and_canary_melon.jpg
106,Cashewnuts,https://en.wikipedia.org/wiki/Cashewnuts,Kaju,https://en.wikipedia.org/wiki/Cashew#/media/File:Cashew_apples.jpg
108,Milk,https://en.wikipedia.org/wiki/Milk,,https://en.wikipedia.org/wiki/Milk#/media/File:Milk_glass.jpg
109,Butter,https://en.wikipedia.org/wiki/Butter,,https://en.wikipedia.org/wiki/Butter#/media/File:%C5%A0v%C3%A9dsk%C3%BD_kol%C3%A1%C4%8D_naruby_904_(cropped).JPG
110,White Pepper Powder,https://en.wikipedia.org/wiki/White_Pepper,,https://en.wikipedia.org/wiki/White_Pepper#/media/File:Ween-WhitePepper.jpg
114,Water,https://en.wikipedia.org/wiki/Water,,https://en.wikipedia.org/wiki/Water#/media/File:Brindis_(24675281395).jpg
115,Whole Wheat Flour,https://en.wikipedia.org/wiki/Wheat Flour,Gehun Ka Atta,https://en.wikipedia.org/wiki/Wheat_flour#/media/File:Wheat_flour.jpg
117,Walnuts,https://en.wikipedia.org/wiki/Walnuts,Akhrot,https://en.wikipedia.org/wiki/Walnut#/media/File:Inside_of_a_walnut_in_growth.jpg
119,Dark Chocolate,https://en.wikipedia.org/wiki/Dark Chocolate,,https://en.wikipedia.org/wiki/Dark_chocolate#/media/File:Schokolade-schwarz.jpg
123,Pistachio Slivers,https://en.wikipedia.org/wiki/Pistachio,,https://en.wikipedia.org/wiki/Pistachio#/media/File:Pistachio_macro_whitebackground_NS.jpg
125,Boiled Chawli,https://en.wikipedia.org/wiki/Black-eyed_pea,Lobhia,https://en.wikipedia.org/wiki/Black-eyed_pea#/media/File:BlackEyedPeas.JPG
128,Alfalfa Sprouts,https://en.wikipedia.org/wiki/Alfalfa,,https://en.wikipedia.org/wiki/Alfalfa#/media/File:75_Medicago_sativa_L.jpg
129,Whole Wheat Footlong Bread,https://en.wikipedia.org/wiki/Brown_bread,,https://en.wikipedia.org/wiki/Brown_bread#/media/File:Kommissbrot.jpg
132,Capsicum,https://en.wikipedia.org/wiki/Capsicum,,https://en.wikipedia.org/wiki/Capsicum#/media/File:Red_capsicum_and_cross_section.jpg
133,Olive Oil,https://en.wikipedia.org/wiki/Olive Oil,,https://en.wikipedia.org/wiki/Olive_oil#/media/File:Oliven_V1.jpg
135,Sliced Black Olives,https://en.wikipedia.org/wiki/Black olives,,https://en.wikipedia.org/wiki/Olive#/media/File:Olivesfromjordan.jpg
136,Dried Oregano,https://en.wikipedia.org/wiki/Oregano,,https://en.wikipedia.org/wiki/Oregano#/media/File:Origanum_vulgare_-_harilik_pune.jpg
138,Mozzarella Cheese,https://en.wikipedia.org/wiki/Cheese,,https://en.wikipedia.org/wiki/Cheese#/media/File:Cowgirl_Creamery_Point_Reyes_-_Red_Hawk_cheese.jpg
139,Vinegar,https://en.wikipedia.org/wiki/Vinegar,,https://en.wikipedia.org/wiki/Vinegar#/media/File:Raisinvinegar.jpg
140,Mayonnaise,https://en.wikipedia.org/wiki/Mayonnaise,,https://en.wikipedia.org/wiki/Mayonnaise#/media/File:Mayonnaise_(1).jpg
141,Basil,https://en.wikipedia.org/wiki/Basil,,https://en.wikipedia.org/wiki/Basil#/media/File:Basil-Basilico-Ocimum_basilicum-albahaca.jpg
143,Iceberg Lettuce Leaves,https://en.wikipedia.org/wiki/Lettuce,,https://en.wikipedia.org/wiki/Lettuce#/media/File:Iceberg_lettuce_in_SB.jpg
144,Garden Cress Seeds,https://en.wikipedia.org/wiki/Garden_cress,,https://en.wikipedia.org/wiki/Garden_cress#/media/File:Img_0717_garden_cress.jpg
150,Orange Juice,https://en.wikipedia.org/wiki/Orange_juice,,https://en.wikipedia.org/wiki/Orange_juice#/media/File:Orange_juice_1_edit1.jpg
151,Pineapple Juice,https://en.wikipedia.org/wiki/Pineapple#Culinary_uses,,https://en.wikipedia.org/wiki/Pineapple#/media/File:%E0%B4%95%E0%B5%88%E0%B4%A4%E0%B4%9A%E0%B5%8D%E0%B4%9A%E0%B4%95%E0%B5%8D%E0%B4%95.jpg
152,Lemonade,https://en.wikipedia.org/wiki/Lemonade,,https://en.wikipedia.org/wiki/Lemonade#/media/File:LemonadeJuly2006.JPG
153,Drumsticks,https://en.wikipedia.org/wiki/Moringa_oleifera,,https://en.wikipedia.org/wiki/Moringa_oleifera#/media/File:Moringa_oleifera_drumstick_pods.JPG
154,Baby Corn,https://en.wikipedia.org/wiki/Baby_corn,,https://en.wikipedia.org/wiki/Baby_corn#/media/File:Stir_fry_%C3%A0_la_Gabi-showcasingbabycorn.jpg
155,Yam,https://en.wikipedia.org/wiki/Yam_(vegetable),,https://en.wikipedia.org/wiki/Yam_(vegetable)#/media/File:YamsatBrixtonMarket.jpg
156,Almond Bread Slices,https://en.wikipedia.org/wiki/Almond Bread,,https://en.wikipedia.org/wiki/Mandelbrot_(cookie)#/media/File:Sliced_mandelbrot.jpg
157,Avocado Slices,https://en.wikipedia.org/wiki/Avocado,,https://en.wikipedia.org/wiki/Avocado#/media/File:Persea_americana_fruit_2.JPG
159,Powdered Almonds,https://en.wikipedia.org/wiki/Almonds,Badam,https://en.wikipedia.org/wiki/Almond#/media/File:Prunus_dulcis_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-250.jpg
160,Apples,https://en.wikipedia.org/wiki/Apples,,https://en.wikipedia.org/wiki/Apple#/media/File:Honeycrisp.jpg
162,Orange Marmalade,https://en.wikipedia.org/wiki/Orange_(fruit),,https://en.wikipedia.org/wiki/Orange_(fruit)#/media/File:Oranges_and_orange_juice.jpg
163,Biscuit Crumbs,https://en.wikipedia.org/wiki/Biscuit,,https://en.wikipedia.org/wiki/Biscuit#/media/File:BiscuitsAmerican%26British.png
166,Bananas,https://en.wikipedia.org/wiki/Bananas,,https://en.wikipedia.org/wiki/Banana#/media/File:Banana_and_cross_section.jpg
167,Vanilla Essence,https://en.wikipedia.org/wiki/Vanilla essence,,https://en.wikipedia.org/wiki/Vanilla_extract#/media/File:VanillaExtract.png
169,Honey,https://en.wikipedia.org/wiki/Honey,,https://en.wikipedia.org/wiki/Honey#/media/File:Runny_hunny.jpg
171,Pumpkin Seeds,https://en.wikipedia.org/wiki/Pumpkin seeds,,https://en.wikipedia.org/wiki/Pumpkin_seed#/media/File:Pumpkin_seeds_in_hand.jpg
172,Sunflower Seeds,https://en.wikipedia.org/wiki/Sunflower seeds,Surajmukhi Ke Beej,https://en.wikipedia.org/wiki/Sunflower_seed#/media/File:Sunflower_Seeds_Kaldari.jpg
174,Blueberries,https://en.wikipedia.org/wiki/Frozen Blueberries,,https://en.wikipedia.org/wiki/Blueberry#/media/File:PattsBlueberries.jpg
178,Bayleaf,https://en.wikipedia.org/wiki/Bay_leaf,Tejpatta,https://en.wikipedia.org/wiki/Bay_leaf#/media/File:Bay_Leaves.JPG
179,Chopped And Boiled French Beans,https://en.wikipedia.org/wiki/Green_bean,,https://en.wikipedia.org/wiki/Green_bean#/media/File:Heaps_of_beans.jpg
180,Biryani Masala,,,
183,Cocoa Powder,https://en.wikipedia.org/wiki/Cocoa Powder,,https://en.wikipedia.org/wiki/Cocoa_solids#/media/File:Cocoa_press_cake.jpg
184,Baking Powder,https://en.wikipedia.org/wiki/Baking Powder,,https://en.wikipedia.org/wiki/Baking_powder#/media/File:BakingPowder.jpg
185,Castor Sugar,https://en.wikipedia.org/wiki/Powdered_sugar,,https://en.wikipedia.org/wiki/Powdered_sugar#/media/File:Powdered_Sugar_-_Macro.jpg
186,Eggs,https://en.wikipedia.org/wiki/Egg_as_food,,https://en.wikipedia.org/wiki/Egg_as_food#/media/File:Vogeleier.jpg
